Nombre de la Lista,Lista de Precios Base,,,
Moneda,Peso Chileno,,,
,,,,
Tipo de producto,Código Barras,SKU,Variante,Precio Venta
HIGIENE Y CUIDADO,7804945063877,AF753877,ACONDICIONADOR FAMILAND HIALURONICO ALGAS 750ML,"2.990,00"
HIGIENE Y CUIDADO,7804945063563,AF753563,ACONDICIONADOR FAMILAND MANZANA PAPAYA 750ML,"2.990,00"
HIGIENE Y CUIDADO PERSONAL,7804945034204,AF504204,ACONDICIONADOR FAMILAND MANZANILLA 500ML,"1.790,00"
HIGIENE Y CUIDADO PERSONAL,7804945063518,AF7503518,ACONDICIONADOR FAMILAND MANZANILLA 750ML,"2.790,00"
HIGIENE Y CUIDADO PERSONAL,7804945063365,AF753365,ACONDICIONADOR FAMILAND MORINGA 750ML,"2.590,00"
HIGIENE Y CUIDADO PERSONAL,7804945063570,AF753570,ACONDICIONADOR FAMILAND PROPOLEO JALEA REAL 750ML,"2.590,00"
HIGIENE Y CUIDADO PERSONAL,7804920003195,AG753195,ACONDICIONADOR GRANADA FRASCO BALLERINA 750ML,"2.490,00"
HIGIENE Y CUIDADO,7500435253079,AH243079,ACONDICIONADOR HERBAL ESSENCES 240ML,"4.490,00"
HIGIENE Y CUIDADO PERSONAL,190679000187,AH400187,ACONDICIONADOR HERBAL ESSENCES ARGAN OIL  400ML,"10.590,00"
HIGIENE Y CUIDADO PERSONAL,381519180750,HEES400750,ACONDICIONADOR HERBAL ESSENCES MANZANILLA 400ML,"7.190,00"
HIGIENE Y CUIDADO,7500435252966,AH242966,ACONDICIONADOR HERBAL ESSENCES ROSA MOSQUETA 240ML,"4.490,00"
BEBES,7804945073128,AK273128,ACONDICIONADOR KIDS BABYLAND BRILLITOS 270ML,"1.790,00"
BEBES,7804945072367,AK272367,ACONDICIONADOR KIDS BABYLAND RIZOS Y RULOS 270ML,"1.790,00"
HIGIENE Y CUIDADO PERSONAL,7804920007230,AM417230,ACONDICIONADOR MANZANILLA BALLERINA 410ML,"1.790,00"
HIGIENE Y CUIDADO PERSONAL,7804920055040,AM755040,ACONDICIONADOR MANZANILLA BALLERINA 750ML,"2.490,00"
HIGIENE Y CUIDADO PERSONAL,7804920003232,AP7503232,ACONDICIONADOR PALTA Y ALMENDRA FRASCO BALLERINA 750ML,"2.490,00"
HIGIENE Y CUIDADO PERSONAL,7500435155939,AP205939,ACONDICIONADOR PANTENE BAMBU 200ML,"1.990,00"
HIGIENE Y CUIDADO,7500435247955,AP257955,ACONDICIONADOR PANTENE BIOTINAMINA B3 250ML,"4.490,00"
HIGIENE Y CUIDADO,7501007457826,AP4007826,ACONDICIONADOR PANTENE BRILLO EXTREMO 400ML,"6.190,00"
HIGIENE Y CUIDADO PERSONAL,7500435155922,AP405922,ACONDICIONADOR PANTENE DE BAMBU NUTRI Y CRECE 400 ML,"5.890,00"
HIGIENE Y CUIDADO,7500435241106,AP251106,ACONDICIONADOR PANTENE KERATINA 250ML,"4.490,00"
HIGIENE Y CUIDADO PERSONAL,7500435128636,AP208636,ACONDICIONADOR PANTENE MICELAR 200ML,"2.090,00"
HIGIENE Y CUIDADO PERSONAL,7500435128650,AP408650,ACONDICIONADOR PANTENE MICELAR 400 ML,"5.890,00"
HIGIENE Y CUIDADO,7500435020299,AP400299,ACONDICIONADOR PANTENE PRO-V FUERZA Y RECONSTRUCCION 400ML,"6.390,00"
HIGIENE Y CUIDADO,7500435209663,ACPAPRMI259663,ACONDICIONADOR PANTENE PRO-V MIRACLES 250ML,"6.490,00"
HIGIENE Y CUIDADO,7500435191586,AP251586,ACONDICIONADOR PANTENE PRO-V MIRACLES COLAGENO 250ML,"4.490,00"
HIGIENE Y CUIDADO PERSONAL,7506309803784,AP103784,ACONDICIONADOR PANTENE REST 10ML,490
HIGIENE Y CUIDADO PERSONAL,7501006721317,AP401317,ACONDICIONADOR PANTENE REST 400ML,"5.690,00"
HIGIENE Y CUIDADO PERSONAL,7501006721294,AP201294,ACONDICIONADOR PANTENE RESTAURACION 200ML,"1.990,00"
HIGIENE Y CUIDADO,7501001165321,AP4005321,ACONDICIONADOR PANTENE RIZOS DEFINIDOS 400ML,"6.190,00"
HIGIENE Y CUIDADO PERSONAL,7804920007766,AP757766,ACONDICIONADOR PLATANO Y CAFE BALLERINA 750ML,"2.450,00"
HIGIENE Y CUIDADO PERSONAL,7791293045276,AR205276,ACONDICIONADOR REC COMP DOVE 200ML,"2.090,00"
HIGIENE Y CUIDADO PERSONAL,7791293042312,AR202312,ACONDICIONADOR RECONSTRUCCION COMPLETA DOVE 200ML,"1.990,00"
HIGIENE Y CUIDADO PERSONAL,7791293042305,AR202305,ACONDICIONADOR REG EXT DOVE 200ML,"2.090,00"
HIGIENE Y CUIDADO,7891150103467,AD153467,ACONDICONADOR DOVE UV REPAIR&GLOW+ FERULICO 150GR,"3.190,00"
HIGIENE Y CUIDADO PERSONAL,7506309840581,AH400581,ACONDICONADOR HIDRATACION EXTREMA PANTENE 400 ML,"6.090,00"
FERRETERIA,7809601116935,A11U6935,ADAPTADOR 10A SCHUKO MACROTEL 1U,"3.790,00"
FERRETERIA,7809601113637,A31U3637,ADAPTADOR 3 TOMAS MACROTEL 1U,"4.990,00"
DESPENSA,7804627651040,AB111040,ADEREZO BUKA SALSA DE QUESO CHEDDAR 110GR,"1.790,00"
DESPENSA,6661701000026,AR1L0026,ADEREZO RANCH HIDDEN VALLEY 1L,"14.990,00"
FERRETERIA,7805500011302,AA121302,ADHESIVO AGOREX TRANSPARENTE 120CC,"5.590,00"
FERRETERIA,7805500010169,AA120169,ADHESIVO AGOREX USO GENERAL 120ML,"6.190,00"
FERRETERIA,7730716400858,AC9G0858,ADHESIVO CONTACTO ECCOLE 9G,"5.590,00"
JUEGOS,4068801903513,AI243513,ADIDAS ÎLE-DE-FOOT 24 AZUL,"16.990,00"
LIMPIEZA,7790520990648,AD280648,AEROSOL DESINFECTANTE LYSOFORM 285CC,"3.790,00"
LIMPIEZA,7790520998125,AD308125,AEROSOL DESINFECTANTE LYSOFORM 300G,"3.790,00"
LIMPIEZA,7790520014177,AD364177,AEROSOL DESINFECTANTE LYSOFORM 360G,"4.490,00"
LIMPIEZA,7790520028686,AD388686,AEROSOL DESINFECTANTE LYSOFORM 385CC,"4.490,00"
LIMPIEZA,7790520014313,AD424313,AEROSOL DESINFECTANTE LYSOFORM 420CC,"4.790,00"
LIMPIEZA,7790520014184,AD254184,AEROSOL DESINFECTANTE LYSOFORM LAVANDA 257G,"3.790,00"
HIGIENE Y CUIDADO PERSONAL,70330717541,AB17541,AFEITADORA BIC 3 ACTION 1U,"1.790,00"
HIGIENE Y CUIDADO PERSONAL,70330717534,AB17534,AFEITADORA BIG CONFORT 3 ADVANCE 1U,"1.990,00"
DULCES Y CHOCOLATES,7613032596668,AE206668,AFTER EIGHT 200G,"8.190,00"
HIGIENE Y CUIDADO PERSONAL,7804945014671,AFGE194671,AFTER SUN GEL SIMOND'S ALOE 190ML,"7.490,00"
FERRETERIA,7805500010060,A120060,AGOREX 120CC,"4.890,00"
BEBIDAS,763331064850,AA4850,AGUA ACTIVA 10L,"2.790,00"
BEBIDAS,763331064843,AA4843,AGUA ACTIVA 20L,"2.990,00"
BEBIDAS,763331064867,AA4867,AGUA ACTIVA 6L,"1.790,00"
BEBIDAS,400005351952,AA1952,AGUA ALOE VERA DURAZNO 1L,"1.490,00"
BEBIDAS,400005351969,AA1969,AGUA ALOE VERA GRANADA 1L,"1.490,00"
BEBIDAS,400005902949,AA2949,AGUA ALOE VERA GRANADA ZERO 1L,"1.490,00"
BEBIDAS,400005351976,AA1976,AGUA ALOE VERA MANGO 1L,"1.490,00"
BEBIDAS,7804628246559,AA6559,AGUA ALOE VERA MANZANA 1L,"1.490,00"
BEBIDAS,7804628246580,AA6580,AGUA ALOE VERA TUTTIFRUTI 1L,"1.490,00"
BEBIDAS,7804628246566,AA6566,AGUA ALOE VERA ZERO FRUTILLA 1L,"1.490,00"
BEBIDAS,400005902918,AA2918,AGUA ALOE VERA ZERO ORIGINAL 1L,"1.490,00"
BEBIDAS,400006751645,AA1645,AGUA ALOE VERA ZERO PAPAYA 1L,"1.490,00"
BOTILLERIA,7802105021224,AA901224,AGUA ARDIENTE DOÑIGUE 900CC,"4.990,00"
AGUAS,7802820442229,AB202229,AGUA BENEDICTINO 20L,"5.990,00"
AGUAS,7802820441512,AB151512,AGUA BENEDICTINO CON GAS 1.5ML,"1.190,00"
AGUAS,7802820441802,AB2L1802,AGUA BENEDICTINO CON GAS 2L,"1.490,00"
AGUAS,7802820441123,AB501123,AGUA BENEDICTINO CON GAS 500CC,"1.090,00"
AGUAS,7802820442137,AB152137,"AGUA BENEDICTINO FRUTILLA 1,5L","1.590,00"
BEBIDAS,7802820002089,AB15L2089,"AGUA BENEDICTINO FRUTOS ROJOS 1,5L","1.290,00"
AGUAS,7802820441529,AB151529,AGUA BENEDICTINO GASIFICADA 1.5,"1.190,00"
BEBIDAS,7802820452280,AB2280,"AGUA BENEDICTINO LIMONADA 1,5L","1.290,00"
BEBIDAS,7802820454307,AB4307,AGUA BENEDICTINO LIMONADA 2L,"1.590,00"
BEBIDAS,7802820452129,AB2129,"AGUA BENEDICTINO MANZANA 1,5L","1.290,00"
BEBIDAS,7802820454109,AB4109,AGUA BENEDICTINO MANZANA 2L,"1.590,00"
AGUAS,7802820452105,AB502105,AGUA BENEDICTINO MANZANA 500CC,"1.090,00"
BEBIDAS,7802820452204,"AB1,2204","AGUA BENEDICTINO PERA 1,5L","1.290,00"
BEBIDAS,7802820454208,AB4208,AGUA BENEDICTINO PERA 2L,"1.590,00"
AGUAS,7802820452181,AB502181,AGUA BENEDICTINO PERA 500CC,"1.090,00"
BEBIDAS,7802820452365,AB2365,"AGUA BENEDICTINO POMELO 1,5L","1.290,00"
BEBIDAS,7802820454918,AB4918,AGUA BENEDICTINO POMELO 2L,"1.590,00"
AGUAS,7802820441789,AB2L1789,AGUA BENEDICTINO SIN GAS 2L,"1.490,00"
AGUAS,7802820441000,AB501000,AGUA BENEDICTINO SIN GAS 500CC,"1.090,00"
AGUAS,1234567891011,AB201011,AGUA BIDON PETRUKO 20L,"3.490,00"
AGUAS,74352540704501,AGBI60,AGUA BIDON PURA VIDA 6.0L,"2.390,00"
BEBIDAS,7801620852955,AC12955,"AGUA CACHANTUN CON GAS 1,6L","1.290,00"
BEBIDAS,7801620005887,AC25887,"AGUA CACHANTUN CON GAS 2,5L","1.790,00"
BEBIDAS,7801620015800,AC505800,AGUA CACHANTUN CON GAS 500ML,"1.090,00"
BEBIDAS,7801620852962,AC12962,"AGUA CACHANTUN SIN GAS 1,6L","1.290,00"
BEBIDAS,7801620005894,AC25894,"AGUA CACHANTUN SIN GAS 2,5L","1.790,00"
BEBIDAS,7801620015817,AC5817,AGUA CACHANTUN SIN GAS 500ML,"1.090,00"
AGUAS,7801620010737,AC500C0737,AGUA CACHANTUN STRONG 500CC,"1.190,00"
AGUAS,7801620010744,AC16000744,AGUA CACHANTUN STRONG GAS 1600ML,"1.290,00"
BEBIDAS,7801620009700,AC509700,AGUA CACHANTUN SUAVEMENTE GASIFICADA 500ML,"1.090,00"
BEBIDAS,7809595602315,AC12315,"AGUA CON GAS PUYEHUE 1,5L","1.490,00"
BEBIDAS,7809595603411,AC333411,AGUA CON GAS PUYEHUE 330ML,"1.290,00"
DESPENSA,7804647960566,AD520566,AGUA DE COCO BE ORGANIC 520ML,"2.590,00"
AGUAS,096619056552,AD1L6552,AGUA DE COCO KIRKLAND 1L,"4.990,00"
AGUAS,77008112287830,77008112287830,AGUA DE FRUTA GUALLARAUCO MANGO MARACUYA 500ML,0
AGUAS,7803908004452,AGFR504452,AGUA DE FRUTA GUALLARAUCO MANGO MARACUYA 500ML SABOR LIMON,"1.690,00"
BEBIDAS,7803908004445,AGGUDEFRPE504445,AGUA GUALLARAUCO DE FRUTA PERA 500ML,"2.190,00"
AGUAS,7803908006067,AG16067,AGUA GUALLARAUCO MANZANA 1L,"2.590,00"
BEBIDAS,7803908004438,AGGUMA504438,AGUA GUALLARAUCO MANZANA 500ML,"2.190,00"
AGUAS,7803908006098,AG16098,AGUA GUALLARAUCO PERA 1L,"2.590,00"
JUGOS,7803908004469,AG504469,AGUA GUALLARAUCO SABOR MANGO MARACUYA 500ML,"2.190,00"
BEBIDAS,7801620006600,AM6600,"AGUA MAS CITRUS 1,6L","1.690,00"
BEBIDAS,7801620010232,AM0232,AGUA MAS CITRUS 2L,"2.190,00"
BEBIDAS,7801620006624,AM6624,"AGUA MAS MANZANA 1,6L","1.690,00"
BEBIDAS,7801620009014,AM9014,AGUA MAS MANZANA 2L,"2.190,00"
BEBIDAS,7801620006655,AM6655,"AGUA MAS PERA 1,6L","1.690,00"
BEBIDAS,7801620009007,AM9007,AGUA MAS PERA 2L,"2.190,00"
BEBIDAS,7801620008338,AM8338,"AGUA MAS PIÑA 1,6L","1.690,00"
BEBIDAS,7801620006648,AM6648,"AGUA MAS UVA 1,6L","1.690,00"
HIGIENE Y CUIDADO PERSONAL,40066783,AM106783,AGUA MICELAR NIVEA PIEL SENSIBLE 100 ML,"3.590,00"
BEBIDAS,7801620009694,AM609694,AGUA MINERAL CACHANTUN GASIFICADA 600ML,"1.090,00"
BEBIDAS,7801620009717,AM609717,AGUA MINERAL CACHANTUN SIN GAS 600ML,"1.090,00"
AGUAS,7801620015855,"AM1,5855","AGUA MINERAL CACHANTUN SUAVEMENTE GASIFICADA 1,6L","1.290,00"
AGUAS,79298400434,AM750434,AGUA MINERAL NATURAL SIN GAS EVIAN 750ML,"3.490,00"
AGUAS,884394007285,AO507285,AGUA OKF FARMERS ALOE VERA 500ML,"2.090,00"
AGUAS,884394007414,AO507414,AGUA OKF FARMERS ALOE VERA CON COCO 500ML,"2.090,00"
AGUAS,884394007339,AO507339,AGUA OKF FARMERS ALOE VERA MANGO NATURAL 500ML,"2.090,00"
AGUAS,884394007377,AO507377,AGUA OKF FARMERS ALOE VERA PIÑA 500ML,"2.090,00"
AGUAS,736372666574,AD106574,AGUA PETRUKO 10L,"2.890,00"
AGUAS,0736372666567,AP66567,AGUA PETRUKO 6L,"1.890,00"
AGUAS,7801620006044,AGPUNESIGAPUVI6L6044,AGUA PURIFICADA NESTLE SIN GAS PURA VIDA 6L,"2.690,00"
AGUAS,7809595601318,AP501318,AGUA PUYEHUE GASIFICADA 500CC,"1.290,00"
AGUAS,7809595601301,AP501301,AGUA PUYEHUE SIN GAS 500CC,"1.290,00"
BEBIDAS,7809595602322,AS12322,"AGUA SIN GAS PUYEHUE 1,5L","1.490,00"
BEBIDAS,7809595603428,AS333428,AGUA SIN GAS PUYEHUE 330ML,"1.290,00"
AGUAS,606110996525,AS2L6525,AGUA SODA COTTI 2L,"1.790,00"
AGUAS,7801620005740,AT315740,AGUA TONICA CANADA DRY LATA 310CC,"1.390,00"
BEBIDAS,7801610382028,AT152028,"AGUA TONICA SCHWEPPES 1,5L","2.490,00"
BEBIDAS,7801610383025,AT153025,"AGUA TONICA SIN AZUCAR SCHWEPPES 1,5L","2.490,00"
BEBIDAS,7801610310083,AT310083,AGUA TONICA SIN AZUCAR SCHWEPPES 310ML,"1.390,00"
BEBIDAS,7802820020953,AV0953,"AGUA VITAL CON GAS 1,6L","1.390,00"
AGUAS,7802820330212,AV330212,AGUA VITAL CON GAS 330ML,"1.290,00"
BEBIDAS,7802820600100,AV0100,AGUA VITAL CON GAS 600ML,990
BEBIDAS,7802820600209,AV0209,AGUA VITAL SIN GAS 600ML,"1.190,00"
BEBIDAS,7802820021950,AV1950,"AGUA VITAL SIN GAS 1,6L","1.390,00"
AGUAS,7802820330250,AV330250,AGUA VITAL SIN GAS 330ML,"1.290,00"
AGUAS,7802820990102,AV990102,AGUA VITAL SIN GAS 990CC,"1.690,00"
BEBIDAS,7802820650013,AB650013,"AGUAN BENEDICTINO 6,5L","2.590,00"
CANDYLAND,73390007997,AB577997,AIRHEADS BITES BOUCHEES 57G,"1.790,00"
DULCES Y CHOCOLATES,073390002206,AB152206,"AIRHEADS BLUE RASPERRY 15,6G",590
DULCES Y CHOCOLATES,073390014841,AF574841,AIRHEADS FILLED ROPES ORIGINAL FRUIT 57G,"2.990,00"
DULCES Y CHOCOLATES,073390002039,AW152039,"AIRHEADS WATERMELON 15,6G",590
DULCES Y CHOCOLATES,073390002213,AW152213,"AIRHEADS WHITE MISTERY 15,6G",590
CANDYLAND,73390008277,AX578277,AIRHEADS XTREMES BLUEST RASPBERRY 57G,"2.990,00"
JUEGOS,6920240806023,AJHISE6023,AJEDREZ HIGH CLASS CHESS SET,"4.990,00"
DESPENSA,7802351221003,AC101003,AJI CHILENO DON JUAN 100G,790
DESPENSA,7802420004599,AC154599,AJI COLOR EDRA 15GR,390
DESPENSA,7804652980337,AC430337,AJI CON PIÑA BY MARIA 430G,"7.290,00"
DESPENSA,7802337930219,AC240219,AJI CREMA TRAVERSO 240G,"1.190,00"
DESPENSA,7802410110101,AD100101,AJI DE COLOR 100G,"1.490,00"
DESPENSA,7802410001379,AD151379,AJI DE COLOR MOLIDO GOURMET 15GR,390
